Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Ray Allen,"(Ray-Ray, Sugar Ray, Jesus Shuttlesworth, Skinny Walt, Gentleman)",Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: July 20, 1975 (Age: 48-091d) in Merced, California us",College: UConn,"High School: Hillcrest in Dalzell, South Carolina","Draft: Minnesota Timberwolves, 1st round (5th pick, 5th overall), 1996 NBA Draft","NBA Debut: November 1, 1996",Hall of Fame: Inducted as Player in 2018 (Full List),Career Length: 18 years,,,,
Tony Allen,"(The Grindfather, Trick or Treat Tony, Gucci)","Position: Shooting Guard, Small Forward, and Point Guard Ñ”? Shoots: Right","6-4, 213lb (193cm, 96kg)","Born: January 11, 1982 (Age: 41-281d) in Chicago, Illinois us","Colleges: Butler County Community College, Oklahoma State","High School: Crane Technical Preparatory in Chicago, Illinois","Draft: Boston Celtics, 1st round (25th pick, 25th overall), 2004 NBA Draft","NBA Debut: November 3, 2004",Career Length: 14 years,,,,,
Willie Allen,Position: Power Forward Ñ”? Shoots: Right,"6-6, 230lb (198cm, 104kg)","Born: February 8, 1949 (Age: 74-253d)",College: Miami (FL),"High School: Richard Montgomery in Rockville, Maryland","Draft: Baltimore Bullets, 4th round (9th pick, 60th overall), 1971 NBA Draft","ABA Debut: December 10, 1971",Career Length: 1 year,,,,,Willie Allen,
Odis Allison,Position: Small Forward Ñ”? Shoots: Right,"6-6, 195lb (198cm, 88kg)","Born: October 2, 1949 (Age: 74-017d)",College: UNLV,"High School: McClymonds in Oakland, California","Draft: Golden State Warriors, 5th round (8th pick, 76th overall), 1971 NBA Draft","NBA Debut: October 15, 1971",Career Length: 1 year,,,,,Odis Allison Jr.,
Lance Allred,Position: Center Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: February 2, 1981 (Age: 42-259d) in Salt Lake City, Utah us","Colleges: Utah, Weber State","High School: East in Salt Lake City, Utah","NBA Debut: March 17, 2008",Career Length: 1 year,,,,,,,
Darrell Allums,Position: Power Forward Ñ”? Shoots: Right,"6-9, 220lb (206cm, 99kg)","Born: September 12, 1958 (Age: 65-037d) in Los Angeles, California us",College: UCLA,"High School: Lynwood in Lynwood, California","Draft: Dallas Mavericks, 5th round (11th pick, 103rd overall), 1980 NBA Draft","NBA Debut: October 11, 1980",Career Length: 1 year,,,,,Darrell Wilbert Allums Jr.,
Morris Almond,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 225lb (198cm, 102kg)","Born: February 2, 1985 (Age: 38-259d) in Dalton, Georgia us",College: Rice University,"High School: McEachern in Powder Springs, Georgia","Draft: Utah Jazz, 1st round (25th pick, 25th overall), 2007 NBA Draft","NBA Debut: November 7, 2007",Career Length: 3 years,,,,,,
Derrick Alston,Position: Center Ñ”? Shoots: Right,"6-11, 225lb (211cm, 102kg)","Born: August 20, 1972 (Age: 51-060d) in Bronx, New York us",Relatives: Son Derrick Alston Jr.,College: Duquesne,"High School: Hoboken in Hoboken, New Jersey","Draft: Philadelphia 76ers, 2nd round (6th pick, 33rd overall), 1994 NBA Draft","NBA Debut: November 4, 1994",Career Length: 3 years,,,,Derrick Samuel Alston,
Rafer Alston,(Skip 2 My Lou),Position: Point Guard Ñ”? Shoots: Right,"6-2, 171lb (188cm, 77kg)","Born: July 24, 1976 (Age: 47-087d) in New York, New York us",College: Fresno State,"High School: Benjamin Cardozo in Bayside, New York","Draft: Milwaukee Bucks, 2nd round (10th pick, 39th overall), 1998 NBA Draft","NBA Debut: February 17, 2000",Career Length: 11 years,,,,,
Peter Aluma,Position: Center Ñ”? Shoots: Right,"6-10, 260lb (208cm, 117kg)","Born: April 23, 1973 in Lagos, Nigeria ng","Died: February 1, 2020 (Aged 46-284d)",College: Liberty,"High School: Okota Grammar School in Isolo, Nigeria","NBA Debut: February 5, 1999",Career Length: 1 year,,,,,Peter Aluma,
Jose Alvarado,Jose Alvarado Ñ”? Twitter: AlvaradoJose15 Ñ”? Instagram: realrytejose,"(Grand Theft Alvarado, GTA)",Position: Point Guard Ñ”? Shoots: Right,"6-0, 179lb (183cm, 81kg)","Born: April 12, 1998 (Age: 25-190d) in Brooklyn, New York us",College: Georgia Tech,"High School: Christ the King in Queens, New York","NBA Debut: November 3, 2021",Experience: 2 years,,,,,
John Amaechi,John Ekwugha Amaechi Ñ”? Twitter: JohnAmaechi,Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 270lb (208cm, 122kg)","Born: November 26, 1970 (Age: 52-327d) in Boston, Massachusetts us","Colleges: Vanderbilt, Penn State","High School: St John's Jesuit in Toledo, Ohio","NBA Debut: November 3, 1995",Career Length: 5 years,,,,,Pronunciation: \ah-MAY-chee\,
Ashraf Amaya,(Andrew),Position: Power Forward Ñ”? Shoots: Right,"6-8, 230lb (203cm, 104kg)","Born: November 23, 1971 (Age: 51-330d) in Oak Park, Illinois us",College: Southern Illinois,"High School: Walther Lutheran in Melrose Park, Illinois","NBA Debut: November 7, 1995",Career Length: 2 years,,,,,Ashraf Omar Amaya,
Al-Farouq Aminu,Al-Farouq Aminu Ñ”? Twitter: farouq1 Ñ”? Instagram: chiefhasarrived,(Chief),Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: September 21, 1990 (Age: 33-028d) in Atlanta, Georgia us",Relatives: Brother Alade Aminu,College: Wake Forest,"High School: Norcross in Norcross, Georgia",Recruiting Rank: 2008 (7),"Draft: Los Angeles Clippers, 1st round (8th pick, 8th overall), 2010 NBA Draft","NBA Debut: October 27, 2010",Career Length: 11 years,,
Lou Amundson,Position: Power Forward Ñ”? Shoots: Right,"6-9, 220lb (206cm, 99kg)","Born: December 7, 1982 (Age: 40-316d) in Ventura, California us",College: UNLV,"High School: Monarch in Louisville, Colorado","NBA Debut: February 24, 2007",Career Length: 10 years,,,,,,,
Bob Anderegg,Position: Small Forward Ñ”? Shoots: Right,"6-3, 200lb (190cm, 90kg)","Born: August 24, 1937 (Age: 86-056d) in Monroe, Wisconsin us",College: Michigan State,"High School: Monroe in Monroe, Wisconsin","Draft: New York Knicks, 3rd round (6th pick, 22nd overall), 1959 NBA Draft","NBA Debut: October 31, 1959",Career Length: 1 year,,,,,Robert H. Anderegg,
Chris Andersen,(Birdman),Position: Center and Power Forward Ñ”? Shoots: Right,"6-10, 245lb (208cm, 111kg)","Born: July 7, 1978 (Age: 45-104d) in Long Beach, California us",College: Blinn College,"High School: Iola in Iola, Texas","NBA Debut: November 23, 2001",Career Length: 15 years,,,,,,
David Andersen,Position: Power Forward and Center Ñ”? Shoots: Right,"6-11, 245lb (211cm, 111kg)","Born: June 23, 1980 (Age: 43-118d) in Melbourne, Australia au","Draft: Atlanta Hawks, 2nd round (8th pick, 37th overall), 2002 NBA Draft","NBA Debut: October 27, 2009",Career Length: 2 years,,,,,,,,
Alan Anderson,(Double),Position: Small Forward and Shooting Guard Ñ”? Shoots: Right,"6-6, 220lb (198cm, 99kg)","Born: October 16, 1982 (Age: 41-003d) in Minneapolis, Minnesota us",College: Michigan State,"High School: DeLaSalle in Minneapolis, Minnesota",Recruiting Rank: 2001 (30),"NBA Debut: November 12, 2005",Career Length: 8 years,,,,,
Andy Anderson,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-2, 184lb (188cm, 83kg)","Born: July 6, 1945 in Buffalo, New York us","Died: June 17, 2019 (Aged 73-346d)",College: Canisius,"High School: Maryvale in Cheektowaga, New York","Draft: Boston Celtics, 8th round (9th pick, 88th overall), 1967 NBA Draft","ABA Debut: October 13, 1967",Career Length: 3 years,,,,Andrew Emil Anderson,
Antonio Anderson,Position: Small Forward Ñ”? Shoots: Right,"6-6, 215lb (198cm, 97kg)","Born: June 5, 1985 (Age: 38-136d) in Lynn, Massachusetts us",College: Memphis,"High School: Laurinburg Institute in Laurinburg, North Carolina",Recruiting Rank: 2005 (66),"NBA Debut: March 3, 2010",Career Length: 1 year,,,,,,
Cliff Anderson,Position: Shooting Guard Ñ”? Shoots: Right,"6-2, 200lb (188cm, 90kg)","Born: September 7, 1944","Died: July 26, 2021 (Aged 76-322d)",College: Saint Joseph's,"High School: Thomas Edison in Philadelphia, Pennsylvania","Draft: Los Angeles Lakers, 4th round (4th pick, 35th overall), 1967 NBA Draft","NBA Debut: October 17, 1967 Ñ”? ABA Debut: November 18, 1969",Career Length: 4 years,,,,Clifford V. Anderson,
Dan Anderson,(Danny),Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: January 1, 1951 (Age: 72-291d)",College: USC,"High School: North Torrance in Torrance, California","Draft: Portland Trail Blazers, 6th round (2nd pick, 92nd overall), 1974 NBA Draft","NBA Debut: October 27, 1974",Career Length: 2 years,,,,Daniel Edward Anderson,
Derek Anderson,(Smooth),"Position: Shooting Guard, Small Forward, and Point Guard Ñ”? Shoots: Right","6-5, 194lb (196cm, 87kg)","Born: July 18, 1974 (Age: 49-093d) in Louisville, Kentucky us","Colleges: Ohio State, Kentucky","High School: Doss in Louisville, Kentucky","Draft: Cleveland Cavaliers, 1st round (13th pick, 13th overall), 1997 NBA Draft","NBA Debut: October 31, 1997",Career Length: 11 years,,,,,
Dwight Anderson,(The Blur),Position: Point Guard Ñ”? Shoots: Right,"6-3, 185lb (190cm, 83kg)","Born: December 28, 1960 in Dayton, Ohio us","Died: September 5, 2020 (Aged 59-252d)","Colleges: Kentucky, USC","High School: Roth in Dayton, Ohio","Draft: Washington Bullets, 2nd round (18th pick, 41st overall), 1982 NBA Draft","NBA Debut: December 30, 1982",Career Length: 1 year,,,Dwight Anthony Anderson,
Eric Anderson,Position: Power Forward Ñ”? Shoots: Right,"6-9, 220lb (206cm, 99kg)","Born: May 26, 1970 in Chicago, Illinois us","Died: December 9, 2018 (Aged 48-197d)",College: Indiana,"High School: St. Francis de Sales in Chicago, Illinois","NBA Debut: November 16, 1992",Career Length: 2 years,,,,,Eric Walfred Anderson III,
Greg Anderson,(Cadillac),Position: Power Forward and Center Ñ”? Shoots: Right,"6-10, 230lb (208cm, 104kg)","Born: June 22, 1964 (Age: 59-119d) in Houston, Texas us",College: Houston,"High School: Evan E. Worthing in Houston, Texas","Draft: San Antonio Spurs, 1st round (23rd pick, 23rd overall), 1987 NBA Draft","NBA Debut: November 6, 1987",Career Length: 10 years,,,,Gregory Wayne Anderson,
J.J. Anderson,Position: Small Forward Ñ”? Shoots: Right,"6-8, 195lb (203cm, 88kg)","Born: September 23, 1960 (Age: 63-026d) in Chicago, Illinois us",College: Bradley,"High School: Metro in Chicago, Illinois","Draft: Philadelphia 76ers, 2nd round (13th pick, 36th overall), 1982 NBA Draft","NBA Debut: October 29, 1982",Career Length: 3 years,,,,,Mitchell Keith Anderson,
James Anderson,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-6, 213lb (198cm, 96kg)","Born: March 25, 1989 (Age: 34-208d) in El Dorado, Arkansas us",College: Oklahoma State,"High School: Junction City in Junction City, Arkansas",Recruiting Rank: 2007 (28),"Draft: San Antonio Spurs, 1st round (20th pick, 20th overall), 2010 NBA Draft","NBA Debut: October 27, 2010",Career Length: 5 years,,,,,
Jerome Anderson,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 195lb (196cm, 88kg)","Born: October 9, 1953 in Mullens, West Virginia us","Died: August 1, 2009 (Aged 55-296d)",College: West Virginia,"High School: Mullens in Mullens, West Virginia","Draft: Boston Celtics, 3rd round (17th pick, 53rd overall), 1975 NBA Draft","NBA Debut: December 12, 1975",Career Length: 2 years,,,,Jerome Anderson,
Justin Anderson,(Simba),Position: Small Forward and Shooting Guard Ñ”? Shoots: Left,"6-6, 230lb (198cm, 104kg)","Born: November 19, 1993 (Age: 29-334d) in Montross, Virginia us",College: Virginia,"High School: Montrose Christian School in Rockville, Maryland",Recruiting Rank: 2012 (48),"Draft: Dallas Mavericks, 1st round (21st pick, 21st overall), 2015 NBA Draft","NBA Debut: October 28, 2015",Experience: 6 years,,,,
Kenny Anderson,(Mr. Chibbs),Position: Point Guard Ñ”? Shoots: Left,"6-0, 168lb (183cm, 76kg)","Born: October 9, 1970 (Age: 53-010d) in Queens, New York us",College: Georgia Tech,"High School: Archbishop Molloy in Queens, New York","Draft: New Jersey Nets, 1st round (2nd pick, 2nd overall), 1991 NBA Draft","NBA Debut: November 9, 1991",Career Length: 14 years,,,,,
Kim Anderson,Position: Small Forward Ñ”? Shoots: Right,"6-7, 200lb (201cm, 90kg)","Born: May 12, 1955 (Age: 68-160d) in Sedalia, Missouri us",College: Missouri,"High School: Smith-Cotton in Sedali, Missouri","Draft: Portland Trail Blazers, 2nd round (6th pick, 28th overall), 1977 NBA Draft, and Milwaukee Bucks, 7th round (15th pick, 146th overall), 1978 NBA Draft","NBA Debut: October 15, 1978",Career Length: 1 year,,,,,Keith Kim Anderson,
Kyle Anderson,(Slo Mo),Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-9, 230lb (206cm, 104kg)","Born: September 20, 1993 (Age: 30-029d) in New York, New York us",College: UCLA,"High School: St. Anthony in Jersey City, New Jersey",Recruiting Rank: 2012 (3),"Draft: San Antonio Spurs, 1st round (30th pick, 30th overall), 2014 NBA Draft","NBA Debut: November 6, 2014",Experience: 9 years,,,,
Michael Anderson,Position: Point Guard Ñ”? Shoots: Right,"5-11, 184lb (180cm, 83kg)","Born: March 23, 1966 (Age: 57-210d) in Philadelphia, Pennsylvania us",College: Drexel,"High School: George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania","Draft: Indiana Pacers, 3rd round (23rd pick, 73rd overall), 1988 NBA Draft","NBA Debut: January 27, 1989",Career Length: 1 year,,,,,Michael Levin Anderson,
Nick Anderson,Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: January 20, 1968 (Age: 55-272d) in Chicago, Illinois us",College: Illinois,"High School: Simeon in Chicago, Illinois","Draft: Orlando Magic, 1st round (11th pick, 11th overall), 1989 NBA Draft","NBA Debut: November 4, 1989",Career Length: 13 years,,,,,,
Richard Anderson,Position: Power Forward and Center Ñ”? Shoots: Right,"6-10, 240lb (208cm, 108kg)","Born: November 19, 1960 (Age: 62-334d) in San Pedro, California us",College: UC Santa Barbara,"High School: Rancho Alamitos in Garden Grove, California","Draft: San Diego Clippers, 2nd round (9th pick, 32nd overall), 1982 NBA Draft","NBA Debut: October 29, 1982",Career Length: 6 years,,,,,Richard Andrew Anderson,
Ron Anderson,(Andy),Position: Small Forward Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: October 15, 1958 (Age: 65-004d) in Chicago, Illinois us",Relatives: Son Ron Anderson,College: Fresno State,"High School: Bowen in Chicago, Illinois - attended but did not play","Draft: Cleveland Cavaliers, 2nd round (3rd pick, 27th overall), 1984 NBA Draft","NBA Debut: October 26, 1984",Career Length: 10 years,,,Ronald Gene Anderson,
Ryan Anderson,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 240lb (206cm, 108kg)","Born: May 6, 1988 (Age: 35-166d) in Sacramento, California us",College: California,"High School: Oak Ridge in El Dorado Hills, California","Draft: New Jersey Nets, 1st round (21st pick, 21st overall), 2008 NBA Draft","NBA Debut: October 29, 2008",Career Length: 12 years,,,,,,
Shandon Anderson,(Rod),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-6, 208lb (198cm, 94kg)","Born: December 31, 1973 (Age: 49-292d) in Atlanta, Georgia us",Relatives: Brother Willie Anderson,College: Georgia,"High School: Crim in Atlanta, Georgia","Draft: Utah Jazz, 2nd round (25th pick, 54th overall), 1996 NBA Draft","NBA Debut: November 1, 1996",Career Length: 10 years,,,Shandon Rodriguez Anderson,
Steve Bardo,Position: Shooting Guard ? Shoots: Right,"6-5, 190lb (196cm, 86kg)","Born: April 5, 1968 (Age: 55-197d) in Henderson, Kentucky us",College: Illinois,"High School: Carbondale in Carbondale, Illinois","Draft: Atlanta Hawks, 2nd round (14th pick, 41st overall), 1990 NBA Draft","NBA Debut: February 19, 1992",Career Length: 3 years,,,Stephen Dean Bardo,,,
J.J. Barea,Jose Juan Barea ? Twitter: jjbareapr ? Instagram: jjbarea11,(Full name Jose Juan Barea Mora),(J.J.),Position: Point Guard and Shooting Guard ? Shoots: Right,"5-10, 180lb (178cm, 81kg)",,,,,,,,,
Andrea Bargnani,Andrea Bargnani ? Twitter: AndreaBargnani,"(Bargs, Il Mago)",Position: Center and Power Forward ? Shoots: Right,"7-0, 245lb (213cm, 111kg)","Born: October 26, 1985 (Age: 37-358d) in Rome, Italy it","Draft: Toronto Raptors, 1st round (1st pick, 1st overall), 2006 NBA Draft","NBA Debut: November 1, 2006",Career Length: 10 years,,,,,,
Cliff Barker,Position: Shooting Guard ? Shoots: Right,"6-2, 185lb (188cm, 83kg)","Born: January 15, 1921 in Yorktown, Indiana us","Died: March 17, 1998 (Aged 77-061d)",College: Kentucky,"High School: Yorktown in Yorktown, Indiana","Draft: Washington Capitols, 5th round, 1949 BAA Draft","NBA Debut: November 1, 1949",Career Length: 3 years,,Clifford Eugene Barker,,,
Tom Barker,Position: Center ? Shoots: Right,"6-11, 225lb (211cm, 102kg)","Born: March 11, 1955 (Age: 68-222d) in Harlingen, Texas us","Colleges: Minnesota, College of Southern Idaho, Hawaii","High School: Weslaco in Weslaco, Texas","Draft: Atlanta Hawks, 4th round (2nd pick, 53rd overall), 1976 NBA Draft","NBA Debut: October 21, 1976",Career Length: 2 years,,,Thomas Kevin Barker,,,
Charles Barkley,"(Sir Charles, The Round Mound of Rebound, The Chuckster, The Chuck Wagon, The Prince of Pizza, The Incredible Bulk, The Leaning Tower of Pizza, Bread Truck, Boy Gorge, Love Boat, Food World, The Crisco Kid, Wide Load from Leeds, Ton of Fun, Goodtime Blimp)",Position: Power Forward and Small Forward ? Shoots: Right,"6-6, 252lb (198cm, 114kg)","Born: February 20, 1963 (Age: 60-241d) in Leeds, Alabama us",College: Auburn,,,,,,,,,
Erick Barkley,(E-Bark),Position: Point Guard ? Shoots: Right,"6-1, 177lb (185cm, 80kg)","Born: February 21, 1978 (Age: 45-240d) in Queens, New York us",College: St. John's,,,,,,Erick Barkley,,,
Don Barksdale,Position: Power Forward and Small Forward ? Shoots: Right,"6-6, 200lb (198cm, 90kg)","Born: March 31, 1923 in Oakland, California us","Died: March 8, 1993 (Aged 69-342d)",College: UCLA,,,,,,Donald Argee Barksdale,,,
Dominick Barlow,Position: Power Forward ? Shoots: Right,"6-9, 221lb (206cm, 100kg)","Born: May 26, 2003 (Age: 20-146d) in Hackensack, New Jersey us","High Schools: Saint Joseph's Preparatory School in Philadelphia, Pennsylvania, Dumont in Dumont, New Jersey","NBA Debut: November 2, 2022",Experience: 1 year,,,,,,,,
Harrison Barnes,(Black Falcon),Position: Power Forward and Small Forward ? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: May 30, 1992 (Age: 31-142d) in Ames, Iowa us",College: UNC,,,,,,,,,
Harry Barnes,Position: Small Forward ? Shoots: Right,"6-3, 205lb (190cm, 92kg)","Born: July 25, 1945 (Age: 78-086d)",College: Northeastern University,"Draft: San Diego Rockets, 4th round (1st pick, 37th overall), 1968 NBA Draft","NBA Debut: October 17, 1968",Career Length: 1 year,,,,Harry J. Barnes,,,
Jim Barnes,(Bad News),Position: Power Forward and Center ? Shoots: Right,"6-8, 210lb (203cm, 95kg)","Born: April 13, 1941 in Tuckerman, Arkansas us","Died: September 14, 2002 (Aged 61-154d)",,,,,,Velvet James Barnes,,,
