Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Terry Duerod,1981 NBA Champ,Career,143,6.7,1.1,1.2,46.2,32.9,67.2,47.5,12.1,1,
Dick Farley,1955 NBA Champ,Career,211,6.5,2.5,1.8,38.4,,70,,12.1,8.2,
Landry Fields,2010-11 All-Rookie,Career,255,6.8,4.3,1.6,47.3,33.2,66.6,51.5,12.1,10.5,
Lindsey Hunter,"2x NBA Champ
1993-94 All-Rookie",Career,937,8.5,2.2,2.7,38.8,36,74.6,45.8,12.1,32.9,
Caldwell Jones,"1x All Star
2x All-Defensive",Career,1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2,
Cory Joseph,2014 NBA Champ,Career,790,7.1,2.5,3,44.2,35,78.7,49.1,12.1,30.5,
Gerard King,1999 NBA Champ,Career,126,4.5,3.1,0.7,50.3,-,74.4,50.3,12.1,3,
Dean Meminger,1973 NBA Champ,Career,416,6.1,2.6,2.5,47.5,,62.7,,12.1,16.6,
Wally Osterkorn,1955 NBA Champ,Career,204,7,6,1.7,33.4,,59.2,,12.1,8.9,
Billy Schaeffer,1974 ABA Champ,Career,137,5.9,2.1,0.7,47.2,23.1,73.2,47.6,12.1,3.1,
Dennis Smith Jr.,2017-18 All-Rookie,Career,270,10.3,3,4.4,40.3,29.9,66.7,44.8,12.1,0.6,
Chico Vaughn,"1x All Star
1968 ABA Champ",Career,491,11.9,2.5,2.1,39.2,30.1,73.8,42,12.1,18,
Dudley Bradley,1980-81 All-Defensive,Career,600,5.2,1.8,1.9,44,29.3,73,45.8,12,16.5,
Randy Foye,2006-07 All-Rookie,Career,752,10.3,2.2,2.8,40.1,36.6,85.2,48.2,12,23.5,
John Paxson,3x NBA Champ,Career,772,7.2,1.2,3.6,49.9,35.5,80.4,52.8,12,36.3,
Walt Piatkowski,1968-69 All-Rookie,Career,157,9.3,3.9,0.6,40.9,28.8,77.2,42.2,12,1.8,
Dion Waiters,"2020 NBA Champ
2012-13 All-Rookie",Career,419,13.1,2.6,2.8,41.2,34.6,69.4,46.8,12,8.8,
Devin Brown,2005 NBA Champ,Career,465,7.2,2.8,1.5,40.1,33.8,77.6,45.2,11.9,13.3,
Matt Bullard,1994 NBA Champ,Career,615,5.3,2,0.9,41.8,38.4,76.8,52.1,11.9,16.8,
Mike Butler,1971 ABA Champ,Career,245,8.8,1.5,2.1,39.3,28.9,86.6,43.6,11.9,7.2,
Kentavious Caldwell-Pope,2x NBA Champ,Career,759,11.5,3.1,1.8,42.4,36.5,81.4,51.2,11.9,39.1,
Pete Chilcutt,1995 NBA Champ,Career,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6,
Kevin Duckworth,"2x All Star
1987-88 Most Improved",Career,684,11.8,5.8,0.9,46.8,20.8,73.6,46.8,11.9,24.7,
Stacey King,"3x NBA Champ
1989-90 All-Rookie",Career,438,6.4,3.3,0.9,47.8,23.5,70.7,47.9,11.9,10.9,
Clyde Lee,1x All Star,Career,742,7.7,10.3,1.1,43.2,,61.4,,11.9,33.5,
Tony Massenburg,2005 NBA Champ,Career,683,6.2,4.3,0.4,47,9.1,70.5,47,11.9,15.6,
Jay Miller,1970 ABA Champ,Career,117,5.5,1.8,0.4,41.5,0,71.7,41.5,11.9,1.4,
J.R. Reid,1989-90 All-Rookie,Career,672,8.5,5,1,47.2,13.5,71.6,47.2,11.9,22.5,
Tom Sanders,"Hall of Fame
8x NBA Champ
1968-69 All-Defensive",Career,916,9.6,6.3,1.1,42.8,,76.7,,11.9,56.5,
Claude Terry,1x All Star,Career,349,5.5,1.4,1.3,46.8,33.8,78.5,48.3,11.9,6.9,
Corey Brewer,2011 NBA Champ,Career,819,8.7,2.8,1.5,42.5,28.4,71.3,46.5,11.8,22.5,
Danny Ferry,2003 NBA Champ,Career,917,7,2.8,1.3,44.6,39.3,84,50.6,11.8,34.8,
Gordan Giri?ek,2002-03 All-Rookie,Career,384,9.6,2.5,1.5,44.2,36.8,82.3,48.6,11.8,8,
Craig Hodges,2x NBA Champ,Career,695,8.5,1.3,2.5,46.1,40,82.8,51.6,11.8,27.2,
Merv Jackson,"1x All Star
1971 ABA Champ",Career,262,11.6,3.3,3.1,41.1,33.6,81.7,42,11.8,7.5,
Jim King,1x All Star,Career,607,7.2,2.5,2.3,41.8,,78.2,,11.8,17.7,
Luc Longley,3x NBA Champ,Career,567,7.2,4.9,1.5,46.2,0,76,46.2,11.8,17.5,
Emmanuel Mudiay,2015-16 All-Rookie,Career,302,10.9,2.9,3.8,40.1,32.3,74.4,44.6,11.8,-0.2,
Shandon Anderson,2006 NBA Champ,Career,719,7.4,3.1,1.4,45.7,31.6,73.9,49.2,11.7,23.6,1
John Brown,1973-74 All-Rookie,Career,486,7.4,4.4,1.4,45.3,-,78.3,45.3,11.7,16.2,
Eric Fernsten,1981 NBA Champ,Career,218,2.4,1.7,0.4,44.5,-,67.5,44.5,11.7,3.3,
Derek Fisher,5x NBA Champ,Career,1287,8.3,2.1,3,39.9,37.4,81.7,46.6,11.7,62.3,
John Gianelli,1973 NBA Champ,Career,541,7.8,5.9,1.5,47,-,70.2,47,11.7,23,
Gary Gregor,1968-69 All-Rookie,Career,361,8.9,6.3,1.3,43.6,75,72.5,43.6,11.7,3.9,
Hot Rod Hundley,2x All Star,Career,431,8.4,3.3,3.4,34.7,,72.1,,11.7,4.3,
Travis Mays,1990-91 All-Rookie,Career,115,11.1,2,2.8,41,36.2,74.9,45.9,11.7,2.4,
Brian Shaw,"3x NBA Champ
1988-89 All-Rookie",Career,943,6.9,3.4,4.2,40.3,30.4,78.2,43.7,11.7,23.8,
Jerry Sichting,1986 NBA Champ,Career,598,6.9,1.4,3.3,50.7,27.1,85.7,51.3,11.7,21.2,
Luke Walton,2x NBA Champ,Career,564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5,
Chucky Brown,1995 NBA Champ,Career,694,5.9,3.1,0.8,49.1,22.7,69.9,49.4,11.6,19,
Don Chaney,"2x NBA Champ
5x All-Defensive",Career,790,8.4,4,2.2,43.6,20,77.6,43.7,11.6,36.3,
Austin Daye,2014 NBA Champ,Career,293,5.2,2.6,0.7,40.2,35.1,77.8,46.9,11.6,4.5,
Damion Lee,2022 NBA Champ,Career,290,8.2,3.4,1.4,43.6,37.9,87.8,53.5,11.6,10.7,
Rick Mahorn,"1989 NBA Champ
1989-90 All-Defensive",Career,1117,6.9,6.2,1,49.3,13.2,70.4,49.3,11.6,51.7,
Slater Martin,"Hall of Fame
7x All Star
5x NBA Champ
5x All-NBA",Career,745,9.8,3.4,4.2,36.4,,76.2,,11.6,47.5,
Jordan Nwora,2021 NBA Champ,Career,154,7.8,3.3,1,42.4,38.6,79.9,51.7,11.6,2.5,
Don Sunderlage,1x All Star,Career,113,7.7,2.5,2,32.6,,73.2,,11.6,2.7,
Courtney Alexander,2000-01 All-Rookie,Career,187,9,2.2,1.2,42.2,33.9,81.3,43.5,11.5,4.1,
Tom LaGarde,1979 NBA Champ,Career,312,7.6,5.1,1.5,46.2,0,64,46.2,11.5,6.5,
Jeff Lamp,1988 NBA Champ,Career,291,5.1,1.5,0.9,47,22.2,84.1,47.4,11.5,5.2,
Sasha Vuja?i?,2x NBA Champ,Career,581,5.3,1.9,1.3,39,36.7,85.8,48.7,11.5,16,
Larry Brown,"Hall of Fame
3x All Star
1969 ABA Champ
1967-68 All-ABA
1967-68 AS MVP",Career,376,11.2,2.7,6.7,41.2,23,81.3,41.9,11.4,24.8,
Pat Connaughton,2021 NBA Champ,Career,478,6.1,3.5,1.3,43.6,35.9,77.7,55.2,11.4,20.6,
Langston Galloway,2014-15 All-Rookie,Career,452,8.1,2.4,1.6,39.7,36.8,81.6,49.4,11.4,14.4,
Kim Hughes,"1976 ABA Champ
1975-76 All-Rookie",Career,425,3.8,5.6,0.9,47.9,-,39.7,47.9,11.4,13.9,
Josh Jackson,2017-18 All-Rookie,Career,291,11.3,4,1.8,41.6,29.2,68,46.1,11.4,-1.7,
Travis Knight,"2000 NBA Champ
1996-97 All-Rookie",Career,371,3.4,3.1,0.6,43.8,25.9,69.6,44.4,11.4,7.9,
Steve Kuberski,2x NBA Champ,Career,568,5.5,3.8,0.6,41.7,,76.7,,11.4,11.4,
Thabo Sefolosha,2009-10 All-Defensive,Career,869,5.7,3.7,1.4,44.9,34.9,73.2,50.9,11.4,39.3,
Wally Walker,2x NBA Champ,Career,565,7,3.1,1.5,46.7,20,64.3,46.7,11.4,12.9,
Rick Adelman,Hall of Fame,Career,462,7.7,2.4,3.5,41.5,,71.3,,11.3,10,
Al Attles,Hall of Fame,Career,711,8.9,3.5,3.5,45.1,,63.2,,11.3,36.5,
Alex Caruso,"2020 NBA Champ
2022-23 All-Defensive",Career,292,6,2.6,2.7,42.9,36.5,74.9,50.9,11.3,11.8,
Jonny Flynn,2009-10 All-Rookie,Career,163,9.2,1.9,3.9,40,33.8,80.9,44.2,11.3,-1.1,
James Jones,3x NBA Champ,Career,709,5.2,1.8,0.5,40.1,40.1,84,53,11.3,25.2,
Med Park,1958 NBA Champ,Career,313,6.1,3.1,1.7,37.9,,72.8,,11.3,7.5,
Pat Riley,"Hall of Fame
1972 NBA Champ",Career,528,7.4,1.6,1.7,41.4,,70.5,,11.3,4.5,
Larry Spriggs,1985 NBA Champ,Career,169,5.2,2.3,1.3,51.7,0,75.2,51.7,11.3,3.4,
?an Tabak,1995 NBA Champ,Career,247,5,3.6,0.7,50.6,0,52.5,50.6,11.3,2.4,
Bill Tosheff,1951-52 ROY *,Career,203,9.2,3,3.3,31.5,,79.3,,11.3,5.2,
Ernie Beck,1956 NBA Champ,Career,371,6.3,3.2,1.8,38.3,,76.2,,11.2,9,
J.R. Bremer,2002-03 All-Rookie,Career,100,6.5,1.8,2.2,34.4,33.3,74.8,44.1,11.2,2.5,
Jud Buechler,3x NBA Champ,Career,720,3.3,1.8,0.8,43.3,36.6,63.3,49.2,11.2,16.5,
Bill Calhoun,1951 NBA Champ,Career,442,7.8,4,2.3,34.1,,70.2,,11.2,18.5,
Bill Hanzlik,1985-86 All-Defensive,Career,748,7.2,2.8,2.8,43.4,21.3,78.1,43.9,11.2,24.7,
Rich Johnson,1969 NBA Champ,Career,135,5,3.1,0.4,46.1,-,63.3,46.1,11.2,2.2,
Fabricio Oberto,2007 NBA Champ,Career,336,3.2,3.5,0.9,57.6,0,61.7,57.6,11.2,13.6,
Chuck Cooper,Hall of Fame,Career,409,6.7,5.9,1.8,33.9,,74.3,,11.1,11.6,
Alfred McGuire,Hall of Fame,Career,191,4,2.2,1.9,37.9,,55.1,,11.1,5.5,
Erwin Mueller,1966-67 All-Rookie,Career,445,7.4,4.7,2,42.6,-,62.3,42.6,11.1,9.1,
Clint Richardson,1983 NBA Champ,Career,586,7,2.4,2.5,46.3,24.4,77,46.5,11.1,16.6,
John Warren,1970 NBA Champ,Career,303,6,2.3,1.9,43,,82.7,,11.1,4.3,
Patrick Williams,2020-21 All-Rookie,Career,170,9.7,4.3,1.3,47.7,41.4,77.9,54.7,11.1,6.8,
Vlatko ?an?ar,2023 NBA Champ,Career,130,3.5,1.7,0.9,47.9,36.1,84.7,56.3,11,2.5,
Dike Eddleman,2x All Star,Career,267,12.1,4.5,2.1,35.2,,63,,11,7.3,
Bryn Forbes,2021 NBA Champ,Career,431,8.8,1.7,1.2,43.6,41,82.6,55.1,11,11.6,
Wali Jones,"1967 NBA Champ
1964-65 All-Rookie",Career,678,9.8,2.2,3.1,40.9,24,80.2,40.9,11,16.1,
Whitey Skoog,3x NBA Champ,Career,341,8.2,3.3,2.6,38.8,,79.9,,11,14.3,
Charlie Williams,"2x All Star
1968 ABA Champ
1967-68 All-ABA",Career,372,16.2,3.1,2.7,39,26.4,71.3,40.7,11,5.7,
Raja Bell,2x All-Defensive,Career,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7,
Dillon Brooks,2022-23 All-Defensive,Career,345,14.5,3.1,2.1,41.6,34.2,79.5,47.9,10.9,6.9,
Chris Duarte,2021-22 All-Rookie,Career,101,10.7,3.4,1.8,41,34.7,82.1,48.8,10.9,0.9,
Mark Eaton,"1x All Star
4x BLK Champ
5x All-Defensive
2x Def. POY",Career,875,6,7.9,1,45.8,0,64.9,45.8,10.9,44.8,
Joe Fulks,"Hall of Fame
2x All Star
1946-47 Scoring Champ
1947 BAA Champ
4x All-BAA/NBA",Career,489,16.4,5.3,1.2,30.2,,76.6,,10.9,29.2,
Linton Johnson,2005 NBA Champ,Career,151,3.9,3.3,0.4,41.6,30.5,69.9,44.4,10.9,2.6,
Bill Wennington,3x NBA Champ,Career,720,4.6,3,0.6,45.9,13.9,78.7,46,10.9,17.7,
Thanasis Antetokounmpo,2021 NBA Champ,Career,164,2.7,1.8,0.6,50.7,14.5,53.7,51.9,10.8,1.9,1
Marty Byrnes,1980 NBA Champ,Career,263,5.7,2.2,1.6,46.3,32.6,73.6,46.9,10.8,4.2,
Michael Doleac,"2006 NBA Champ
1998-99 All-Rookie",Career,587,4.9,3.3,0.6,43.9,12.5,79.1,43.9,10.8,12.7,
Dick Garrett,1969-70 All-Rookie,Career,339,10.3,3,2.5,42.3,,86.3,,10.8,6,
Jarvis Hayes,2003-04 All-Rookie,Career,427,8.3,3.1,1.1,41.5,35.6,79.8,47.4,10.8,10.2,
D.J. Mbenga,2x NBA Champ,Career,234,1.8,1.5,0.2,47,0,60.7,47,10.8,2.4,
Julius Keye,"1x All Star
2x All-Defensive",Career,418,7.6,11,1.6,41.8,18.2,62.3,41.8,10.8,17.8,
Mark McNamara,1983 NBA Champ,Career,278,3.5,3,0.3,51.2,-,54.8,51.2,10.8,2.8,
Felton Spencer,1990-91 All-Rookie,Career,640,5.2,5.4,0.3,48.4,0,65.8,48.4,10.8,20.9,
Win Wilfong,1958 NBA Champ,Career,268,6.8,3.4,2.1,36.1,,74.4,,10.8,2.7,
John Barnhill,1970 ABA Champ,Career,589,8.6,2.5,2.9,40.6,23.6,65.8,41.6,10.7,12.7,
Avery Bradley,2x All-Defensive,Career,660,11,2.8,1.7,43.4,36.5,78.3,49.8,10.7,17.2,
Ayo Dosunmu,2021-22 All-Rookie,Career,157,8.7,2.8,2.9,50.6,34.4,74.4,56.4,10.7,6,
Howard Komives,1964-65 All-Rookie,Career,742,10.2,2.4,4,38.8,,83,,10.7,5,
Earl Lloyd,"Hall of Fame
1955 NBA Champ",Career,560,8.4,6.4,1.4,35.6,,75,,10.7,19.1,
Michael Olowokandi,1998-99 All-Rookie,Career,500,8.3,6.8,0.7,43.5,-,59.7,43.5,10.7,2.5,
Kendrick Perkins,2008 NBA Champ,Career,782,5.4,5.8,1,53,0,59.4,53,10.7,27.9,
John Trapp,1972 NBA Champ,Career,303,7.2,4.4,1,42,0,71.7,42,10.7,6.4,
Jim Ard,1976 NBA Champ,Career,431,4.4,4.3,0.6,40.2,23.5,66.2,40.3,10.6,4,1
Melvin Ely,2007 NBA Champ,Career,375,5.3,3.2,0.7,46,0,62.5,46,10.6,4,
Devean George,3x NBA Champ,Career,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2,
Matt Maloney,1996-97 All-Rookie,Career,295,7.4,1.7,2.9,40.8,37.2,79.7,51.2,10.6,9.5,
Jackie Moore,1956 NBA Champ,Career,133,2.7,2.5,0.5,39.1,,63.2,,10.6,1.6,
Kevin Stacom,1976 NBA Champ,Career,347,5.1,1.5,1.5,41.7,50,76.8,41.7,10.6,3.1,
Juan Toscano-Anderson,2022 NBA Champ,Career,191,4.3,3.1,1.9,50.6,33.1,64.6,56.8,10.6,5.7,
Dennis Awtrey,1979 NBA Champ,Career,733,4.8,4.6,2,45.9,-,65.2,45.9,10.5,22.4,
Freddie Boyd,1972-73 All-Rookie,Career,327,8.5,1.6,3,41.4,,66.7,,10.5,1.4,
Dick Cunningham,1971 NBA Champ,Career,358,2.8,3.7,0.6,40.6,,63.6,,10.5,4.2,
Carl Herrera,2x NBA Champ,Career,465,5.3,3.6,0.6,47.6,14.3,64.3,47.6,10.5,9,
Justin Holiday,2015 NBA Champ,Career,622,8.4,2.8,1.4,39.7,36.3,81.7,50.9,10.5,16.9,
Jason Kapono,2006 NBA Champ,Career,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3,
Joe Kleine,1998 NBA Champ,Career,965,4.8,4.1,0.6,45.3,27.1,79.4,45.4,10.5,19.1,
Kevin McKenna,1982 NBA Champ,Career,243,5.4,1.3,1.4,41.4,36.7,81.9,45.6,10.5,4,
Ed Nealy,1993 NBA Champ,Career,540,2.7,3.3,0.7,49.8,29.2,68.4,51.5,10.5,15.2,
Pep Saul,4x NBA Champ,Career,384,5.6,2,1.6,36,,73.9,,10.5,12.7,
Fatty Taylor,2x All-Defensive,Career,640,8,3.9,4,43.8,20.6,67.6,44.1,10.5,17,
Matisse Thybulle,2x All-Defensive,Career,267,4.6,2,1,44.7,33.4,66.2,54,10.5,11,
Vince Boryla,1x All Star,Career,285,11.2,3.7,2.1,37.1,,81.6,,10.4,16,
Earl Cureton,2x NBA Champ,Career,674,5.4,4.7,1,47.3,0,53.8,47.3,10.4,14.4,
T.R. Dunn,3x All-Defensive,Career,993,5.1,4.4,1.6,45.7,5,72.5,45.7,10.4,39.8,
K.C. Jones,"Hall of Fame
8x NBA Champ",Career,676,7.4,3.5,4.3,38.7,,64.7,,10.4,38.6,
Moses Moody,2022 NBA Champ,Career,115,4.6,1.6,0.6,45.9,36.3,73,56.7,10.4,2.6,
George Senesky,1947 BAA Champ,Career,482,7.2,3.5,3.2,31.3,,70.2,,10.4,21.8,
Randy Brown,3x NBA Champ,Career,655,4.8,1.8,2.2,41.7,20,69.1,42.1,10.3,11,
Ian Clark,2017 NBA Champ,Career,330,5.6,1.3,1.2,43.9,34,80.4,51.3,10.3,4.4,
Slick Leonard,Hall of Fame,Career,426,9.9,2.9,3.3,34.9,,74.5,,10.3,3.8,
Glenn McDonald,1976 NBA Champ,Career,146,4.2,1.5,0.7,40,,73.2,,10.3,1.1,
Justise Winslow,2015-16 All-Rookie,Career,344,8.2,5.1,2.6,41.2,31.5,63.8,45.5,10.3,8.2,
Tim Bassett,1976 ABA Champ,Career,473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9,
Gene Conley,3x NBA Champ,Career,351,5.9,6.3,0.6,37.1,,65.7,,10.2,5.1,
Gerald Govan,1x All Star,Career,681,7.7,10.5,3.2,40.5,20.8,67.8,40.6,10.2,27,
Jim Jarvis,1968 ABA Champ,Career,125,5.8,1.9,1.2,37.4,32.6,80.3,39.5,10.2,0.9,
Em Bryant,1969 NBA Champ,Career,566,6.6,2.8,3,41,,69,,10.1,8.6,
Tremaine Fowlkes,2004 NBA Champ,Career,103,2.9,2.2,0.5,40.9,20,79.1,41.6,10.1,2.1,
Bill Hewitt,1968-69 All-Rookie,Career,361,5.7,5.5,1.3,43.9,,56.1,,10.1,5.2,
Jaren Jackson,1999 NBA Champ,Career,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5,
Landry Shamet,2018-19 All-Rookie,Career,302,8.9,1.8,1.7,40.6,38.8,84.2,54.4,10.1,11.8,
Jacque Vaughn,2007 NBA Champ,Career,776,4.5,1.3,2.5,42.9,35.2,77.9,44.5,10.1,15.4,
E.C. Coleman,2x All-Defensive,Career,357,7.2,6,1.3,46.4,,69.4,,10,12.8,
Francisco Elson,2007 NBA Champ,Career,472,3.7,3.5,0.6,47.8,18.8,70,47.9,10,11.7,
Bob Hansen,1992 NBA Champ,Career,575,6.9,2.2,1.6,46.8,32.3,66.2,49.1,10,15.4,
Justin Jackson,2021 NBA Champ,Career,278,6,2.4,1,42.3,31.9,79.6,50.1,10,5.3,
Wesley Johnson,2010-11 All-Rookie,Career,609,7,3.2,1.1,40.4,33.7,74.1,48.1,10,10.7,
P.J. Tucker,2021 NBA Champ,Career,852,6.8,5.5,1.4,42.5,36.6,74.9,51.2,10,42.6,
Mike Wilks,2005 NBA Champ,Career,233,2.5,1,1.2,40.2,32.1,74.1,43.3,10,2.5,
Arvesta Kelly,1968 ABA Champ,Career,188,8,2.6,1.8,44.5,25.3,63.7,46.4,9.9,5.6,
Brandon Rush,2015 NBA Champ,Career,481,6.8,2.9,1,42.6,40.2,70.6,51.8,9.9,11.2,
DeShawn Stevenson,2011 NBA Champ,Career,824,7.2,2.2,1.6,40.6,34,69.8,45.6,9.9,12.1,
Matt Guokas,1967 NBA Champ,Career,735,5.8,2,3,48.9,,72.7,,9.8,26.7,
Joel Anthony,2x NBA Champ,Career,490,2.2,2.8,0.2,51.3,-,66.2,51.3,9.7,15.3,2
William Bedford,1990 NBA Champ,Career,238,4.1,2.4,0.5,41.6,31.8,60.5,41.9,9.7,0.9,
Matthew Dellavedova,2016 NBA Champ,Career,479,5.2,1.7,3.5,38.5,36.3,83.5,47.3,9.7,10.2,
Jack Haley,1996 NBA Champ,Career,341,3.5,2.7,0.2,42.5,0,65.5,42.5,9.7,2.9,
Andre Roberson,2016-17 All-Defensive,Career,307,4.5,4,0.9,47.3,25.3,46.8,51.9,9.7,12.6,
Iman Shumpert,"2016 NBA Champ
2011-12 All-Rookie
2021 DWTS Champ",Career,461,7.2,3.3,1.8,39.1,33.7,76.4,46.9,9.7,12.9,
Walt Davis,2x NBA Champ,Career,325,4.8,4.3,0.7,37.7,,69.5,,9.6,4.8,
Jack McMahon,1958 NBA Champ,Career,524,8.1,2.7,3.7,33.7,,63.7,,9.6,6.2,
Chuck Noble,1x All Star,Career,411,8,2.6,3.3,34.6,,73.1,,9.6,-0.9,
Monte Towe,1x All Star,Career,115,2.8,0.8,1.9,40.4,21.4,78.3,41.8,9.6,0.2,
Dahntay Jones,2016 NBA Champ,Career,624,5.4,1.7,0.8,43.9,32.9,75.1,45.9,9.5,9.9,
Bones McKinney,2x All-BAA,Career,318,9.4,3.5,1.6,29.8,,71.1,,9.5,15.4,
Isaac Okoro,2020-21 All-Rookie,Career,210,8.2,2.8,1.6,45.9,33,74.9,52.6,9.5,9.4,
Dickey Simpkins,3x NBA Champ,Career,327,4.2,3.6,0.9,44,22.2,61.8,44.1,9.5,4.7,
Kyle Singler,2012-13 All-Rookie,Career,356,6.5,2.9,0.8,41.8,36.2,78.6,49.3,9.5,10,
Manute Bol,"2x BLK Champ
1985-86 All-Defensive",Career,624,2.6,4.2,0.3,40.7,21,56.1,42,9.4,12.3,
Art Harris,1968-69 All-Rookie,Career,238,9.1,2.4,2.7,39.6,,62.6,,9.4,-1.7,
Richie Regan,1x All Star,Career,215,8.3,2.6,2.9,34.4,,71.7,,9.4,3.5,
Corky Calhoun,1977 NBA Champ,Career,542,5.3,3.6,1.1,46,-,78.2,46,9.3,14.4,
Alex Hannum,Hall of Fame,Career,516,6,4.5,1.7,35.4,,62.9,,9.3,13.1,
Danny Vranes,1984-85 All-Defensive,Career,510,5.1,3.9,1.2,49.6,10.5,57,49.6,9.3,15.3,
Nate Bowman,1970 NBA Champ,Career,261,2.9,3.4,0.7,38.8,0,52.9,38.8,9.2,1,
Norris Cole,2x NBA Champ,Career,360,7,2,2.7,40.7,32.4,74.3,44.9,9.2,3,
Scott Hastings,1990 NBA Champ,Career,578,2.8,2.2,0.5,44.1,29.2,81.1,45.2,9.2,9.8,
Cedric Henderson,1997-98 All-Rookie,Career,260,7.3,2.9,1.6,43.6,14,71.5,43.7,9.2,3.3,
Jim Holstein,2x NBA Champ,Career,225,3.8,2.9,1.1,32.3,,64.7,,9.2,2.4,
Josh Powell,2x NBA Champ,Career,316,3.9,2.9,0.5,43.8,35,74.3,44.1,9.2,2.5,
Sean Marks,2005 NBA Champ,Career,230,2.8,2.2,0.2,44.8,20,66.5,45.2,9.1,2.6,
Eric Montross,1994-95 All-Rookie,Career,465,4.5,4.6,0.4,49,0,47.8,49,9.1,8.5,
Chuck Nevitt,1985 NBA Champ,Career,155,1.6,1.5,0.1,43.8,-,58.9,43.8,9.1,0.5,
Gene Guarilia,4x NBA Champ,Career,129,3.2,2.3,0.3,37.6,,61.1,,9,1.2,
Darvin Ham,2004 NBA Champ,Career,417,2.7,2.3,0.5,51.8,25,49.4,52,9,5.6,
Dennis Wuycik,1972-73 All-Rookie,Career,157,4.4,2.1,0.8,46,14.3,67.2,46.1,9,2.2,
Greg Foster,2001 NBA Champ,Career,656,3.9,2.6,0.5,44,22.5,74.8,44.4,8.9,5.6,
Mark Macon,1991-92 All-Rookie,Career,251,6.7,1.9,1.7,38.4,27,73.5,39.4,8.9,0.1,
Woody Sauldsberry,"1x All Star
1966 NBA Champ
1957-58 ROY",Career,462,10.7,7.8,1.1,34.8,,61,,8.9,-10.7,
Johnny McCarthy,1964 NBA Champ,Career,316,7.8,3.6,3.7,35.3,,62.2,,8.8,4.7,
Roger Brown,1x All Star,Career,239,2.4,3.5,0.5,40.6,100,62.4,40.8,8.7,2.3,
Chuck Terry,1976 ABA Champ,Career,341,3.8,2.4,0.8,41.9,32.3,77.5,42.2,8.5,6.4,
Bob Harrison,"1x All Star
3x NBA Champ",Career,615,7.2,2.5,2.7,35.2,,69.3,,8.3,15,
Jim Loscutoff,7x NBA Champ,Career,511,6.2,5.6,0.7,34.5,,65.3,,8.3,3.4,
Bruce Bowen,"3x NBA Champ
8x All-Defensive",Career,873,6.1,2.8,1.2,40.9,39.3,57.5,49.4,8.2,42.9,
Gary Phillips,1962 NBA Champ,Career,348,6.7,2.6,1.9,37,,62.9,,8.2,2.3,
Joe Hutton,1952 NBA Champ,Career,120,2.5,1.6,1,33.1,,69,,8.1,2.2,
Mark Madsen,2x NBA Champ,Career,453,2.2,2.6,0.4,45.7,6.3,52.7,45.7,8.1,8.2,
Howie Schultz,1952 NBA Champ,Career,173,5.3,3.1,1.7,27.1,,71.1,,8,5.6,
David Thirdkill,1986 NBA Champ,Career,179,2.8,1.2,0.5,45.7,9.1,56.5,45.8,8,1.3,
Marc Iavaroni,1983 NBA Champ,Career,531,4.4,3.2,1,45.9,0,71,45.9,7.9,8,
Patrick McCaw,3x NBA Champ,Career,199,3.8,1.6,1.4,42,30.5,78.5,48.6,7.8,4.4,
Lou Tsioropoulos,2x NBA Champ,Career,157,5.8,4.8,1.1,31.5,,71.7,,7.8,2.1,
Brian Scalabrine,2008 NBA Champ,Career,520,3.1,2,0.8,39,34.4,78.3,45,7.7,7.6,
Tim Breaux,1995 NBA Champ,Career,102,2.9,0.9,0.4,36.9,29.7,63.5,40.6,7.4,-0.2,
Adam Morrison,"2x NBA Champ
2006-07 All-Rookie",Career,161,7.5,2.1,1.4,37.3,33.1,71,42.3,7.4,-1.4,
Mike Smrek,2x NBA Champ,Career,194,2.9,2.2,0.3,43.1,0,61.7,43.1,7.4,0.7,
Tom Thacker,"1968 NBA Champ
1970 ABA Champ",Career,314,3.2,2.6,1.5,36,22.7,50.8,36.5,7.4,-0.3,
Red Holzman,"Hall of Fame
1951 NBA Champ",Career,358,6.1,1.5,2,31.7,,68.2,,7.3,1.8,
Rick Carlisle,1986 NBA Champ,Career,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7,0.5,
Greg Kite,2x NBA Champ,Career,680,2.5,3.8,0.5,43.8,16.7,48.6,43.8,6.5,5.6,
Joe McNamee,1951 NBA Champ,Career,118,2.4,2,0.5,29.8,,62,,6.1,-1.3,
Paul Noel,1951 NBA Champ,Career,201,3.3,1.4,0.7,29.1,,63.6,,2.3,0.2,
Kleggie Hermsen,1948 BAA Champ,Career,288,9.3,5.8,1.3,29.7,,65.4,,-6.2,11.4,
